orthogroup	species	hpf	ex
OG0016802	LV	16	5.9923533204220245
OG0016802	LV	24	6.579060680864531
OG0013038	LV	0	0.5678392051194036
OG0013038	LV	2	-0.13623409307490145
OG0013038	LV	3	-0.42154495815242454
OG0013038	LV	4	-0.422870538648006
OG0013038	LV	10	0.03129852758531918
OG0013038	LV	16	0.7312835630808671
OG0013038	LV	24	6.408708563055056
OG0014783	LV	0	1.6832448869854462
OG0014783	LV	2	0.9938114277756174
OG0014783	LV	3	0.8034956297571353
OG0014783	LV	4	1.1501753424868009
OG0014783	LV	10	5.233435548089878
OG0014783	LV	16	4.506622068399704
OG0014783	LV	24	5.379149259987395
OG0014782	LV	0	3.517791808598732
OG0014782	LV	2	1.6634393800327312
OG0014782	LV	3	2.1156933666112807
OG0014782	LV	4	2.5456448742834
OG0014782	LV	10	2.071142227722084
OG0014782	LV	16	6.22801852613003
OG0014782	LV	24	5.654375658813195
OG0005965	LV	0	7.68947417530292
OG0005965	LV	2	7.670664841212792
OG0005965	LV	3	8.065128699150025
OG0005965	LV	4	7.669733104059556
OG0005965	LV	10	8.011649124237227
OG0005965	LV	16	7.990804639289224
OG0005965	LV	24	8.052810580087023
OG0008414	LV	0	9.697383337812731
OG0008414	LV	2	9.032191057151358
OG0008414	LV	3	8.342057344214236
OG0008414	LV	4	8.016094466833014
OG0008414	LV	10	7.675878387092471
OG0008414	LV	16	8.024311714075097
OG0008414	LV	24	7.929112420017487
OG0005964	LV	0	8.141124183364035
OG0005964	LV	2	6.5349779773680945
OG0005964	LV	3	6.75903377961798
OG0005964	LV	4	5.946386847170004
OG0005964	LV	10	7.104429276808021
OG0005964	LV	16	6.9714511004877
OG0005964	LV	24	7.291745314118274
OG0011628	LV	0	4.053481768409667
OG0011628	LV	2	4.057208697224478
OG0011628	LV	3	4.207540374929814
OG0011628	LV	4	2.6736439327731127
OG0011628	LV	10	4.073423992802465
OG0011628	LV	16	5.203726361431902
OG0011628	LV	24	4.838098463050662
OG0004391	LV	0	7.184402322445546
OG0004391	LV	2	7.992578101614021
OG0004391	LV	3	7.829425706851132
OG0004391	LV	4	8.154771434601852
OG0004391	LV	10	7.123116357444014
OG0004391	LV	16	6.600990953147752
OG0004391	LV	24	6.628453343790029
OG0007046	LV	0	6.071939525439604
OG0007046	LV	2	6.529784416277603
OG0007046	LV	3	6.517081832670669
OG0007046	LV	4	7.085430764826065
OG0007046	LV	10	6.489006737224996
OG0007046	LV	16	6.514475273519804
OG0007046	LV	24	6.211453950975238
OG0015391	LV	0	5.740624724004581
OG0015391	LV	2	5.623699842956423
OG0015391	LV	3	5.206971593956725
OG0015391	LV	4	4.382511686648157
OG0015391	LV	10	5.49361165201242
OG0015391	LV	16	5.484231947649654
OG0015391	LV	24	6.474556947839456
OG0016799	LV	0	2.410776032375754
OG0016799	LV	2	1.9299399462853404
OG0016799	LV	3	1.8739492352566642
OG0016799	LV	4	1.872086124476539
OG0016799	LV	10	1.944756956387462
OG0016799	LV	16	2.26298299393218
OG0016799	LV	24	6.350459816184251
OG0015388	LV	0	10.302241199474057
OG0015388	LV	2	8.932016706384733
OG0015388	LV	3	8.843100659670574
OG0015388	LV	4	8.433667002600583
OG0015388	LV	10	9.101656183369938
