H_tub_ID	HT16cellA	HT16cellB	HT16cellC	HT32cellA	HT32cellB	HT32cellC	HT4cellA	HT4cellB	HT4cellC	HTEGGA	HTEGGB	HTEGGC	HTGA	HTGB	HTGC	HTMBA	HTMBB	HTMBC	HTPRA	HTPRB	HTPRC
HTU_25766.t1	2534.08	3105.83	1414.67	2696.67	2090.92	1735.40	182.50	951.83	1234.27	211.17	197.00	274.17	102.33	119.83	137.33	307.33	352.25	158.67	158.00	179.67	207.00
HTU_26332.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	0.50	0.50	0	0.50	0	2
HTU_25017.t1	2007	2203	1517	2158	1799	1703	524	894	370	623	203	70	183	163	205	245.00	316	226	245	217	267
HTU_25478.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_26099.t2	3.50	2.50	1	2.50	1.50	0.50	2	1.50	1.50	2	1	0	35.50	41.50	36	23.50	37.50	39.50	38.50	29	29
HTU_26099.t3	1.50	1.50	1	0.50	0.50	0	0	1	0.50	0.50	0	0	11.50	17	12	10.50	11	11.50	16	13.50	11.50
HTU_26099.t1	2	1	0	2	1	0.50	1	0.50	1	1.50	0	0	23	19.50	20	14	23.50	25	21.50	18.50	12.50
HTU_25193.t1	3	2.50	2	6	0.50	5	0.50	3	2.50	0	1.50	0.50	0	0	0	0	0	0	0	0	0
HTU_25968.t1	2.83	3	0.50	1	0.50	1	0	0	0	0	0	0.50	4	5	8	20	7.33	5.50	37.83	110.83	17.67
HTU_25489.t1	264	208	183	214	116	218	98	136	224	30	18	43	18	15	16	57	47.50	33	25	24	19
HTU_25256.t1	87.50	3.50	18.50	83.00	1.67	23.50	0.75	10.17	2	1.33	3.83	1.25	2.50	7.83	5.17	5.75	2	0.33	4	9.33	0.50
HTU_25841.t1	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
HTU_25870.t1	1.50	1	1.50	3.50	3	2.50	3.50	1.50	0.50	1.83	0.50	0.50	38.33	69.17	32.33	58.17	98.00	75.83	172.00	186.33	183.83
HTU_25530.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_24928.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_26194.t1	15.50	11	3	15	11	4	3.50	5.50	7	1.50	2	3.50	3.50	4	7	29.50	14.50	12.50	3	1	5.50
