H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_18058	OG0013930	3	4	5	31	69	41	130	114	70	103	127	78	1235	851	934	728	1272	1202	934	654	388
HER_18059	OG0000176	6	2	0	4	0	0	6	2	8	4	4	12	29	28	32	94	24	30	76	42	74
HER_1806	OG0016503	1	1	5	11	16	8	31	12	16	9	18	11	3	10	2	1	3	2	1	1	2
HER_18060	OG0015791	296	1064	769	4821	3518	2615	5913	3960	4586	1420	3434	4399	12948	13014	10133	3401	7630	5520	8491	5772	1351
HER_18061	NA	0	0	0	2	1	0	2	1	4	3	1	0	1479	964	1560	701	1230	1214	2034	1326	251
HER_18064	OG0013932	141	154	112	599	563	420	1501	965	959	445	1138	896	424	411	433	280	422	426	655	590	162
HER_18065	OG0007838	1506	1669	2464	8304	5863	4638	11433	7266	8432	4473	8281	9147	1316	4060	1360	651	608	446	713	544	384
HER_18066	OG0010877	70	105	64	262	301	228	784	541	445	266	534	786	1198	824	722	312	579	403	647	524	200
HER_18069	NA	36	18	62	58	20	40	16	66	68	34	8	19	14	35	65	97	50	43	138	80	110
HER_1807	NA	1	1	1	12	7	5	28	15	20	12	31	29	5	15	0	3	2	0	0	0	1
HER_18070	OG0007839	640	1868	1172	1596	1320	998	2536	1396	1546	656	1808	1748	5804	4176	2796	1584	3132	2458	4120	2804	1144
HER_18071	OG0013933	29	38	44	320	187	133	291	232	230	102	221	326	178	245	69	60	103	95	107	91	75
HER_18072	OG0013934	150	182	252	1070	1218	823	1588	1020	1036	435	1156	995	743	793	181	232	253	200	272	211	257
HER_18073	OG0007840	999	1252	750	1018	1110	1628	2023	1400	2023	379	969	2256	405	1488	880	653	1733	923	1218	1039	595
HER_18074	OG0017051	2491	3787	2905	3494	2102	2387	3404	2243	3138	1038	2190	2550	374	1476	1600	514	602	367	1674	1230	202
HER_18075	OG0001506	190	329	334	599	492	293	1731	961	1468	399	939	879	445	647	610	196	303	201	724	558	214
HER_18076	OG0015792	110	369	402	1628	1067	1058	3843	2247	2799	1145	2653	2049	373	921	461	231	334	249	390	288	104
HER_18077	OG0013935	181	319	378	660	901	849	1273	646	1849	266	713	696	710	690	957	679	1102	1022	1852	1374	574
HER_18078	OG0004121	1414	2354	1185	1810	2143	1825	2675	1994	3696	598	1233	2863	1402	1529	656	357	519	327	620	451	232
HER_18079	OG0003265	103	231	144	446	344	445	1069	455	641	334	885	683	855	738	755	457	682	654	1012	1038	205
HER_1808	NA	6	7	1	27	41	45	56	45	12	51	61	43	22	21	25	24	12	33	25	16	5
