L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_4716.t1	86.50	108	91	55	44	99.50	16.50	107	101	20.50	38.50	14.50	585.50	288.50	423.50	234	167.50	192	451.50	286	306.00
LVA_4716.t1.1.5f2bf5f7	86.50	108	91	55	44	99.50	16.50	107	101	20.50	38.50	14.50	587.50	287.50	424.50	234	167.50	193	451.50	286	309.00
LVA_4393.t1	204	267	102	311	181	250	135	94	159	32	48	80	195	111	117	89	113	93	171	96	88
LVA_3700.t1	835	1060	668.00	398	450	718.00	586.00	768	557	183	163	248.00	866	489.00	651	184	315	227	632	515	407
LVA_3977.t1	1123.50	1563	702.25	513.75	1292.25	1158.75	301.50	291.75	717.50	236.50	147.50	75.00	680.00	263.50	348.25	419.75	398.50	357.50	328.50	199.50	239.50
LVA_3977.t1.1.5f2bf60a	968.50	1370	619.25	453.75	1129.25	1017.75	289.50	267.75	635.50	225.50	138.50	68.00	602.00	243.50	314.25	389.75	368.50	325.50	293.50	179.50	217.50
LVA_4491.t1	176.50	239.50	292.50	141	195	264	179	148	187	291	162	401	204.50	127.00	106	87	101	82	130	115	86
LVA_4329.t1	1304	854.00	614	1404	645	1976	1739	1992	1444	407	1595	1658	1020	789	1050	2465	1728	3406	272	144	55
LVA_4349.t1	102	155	33.50	46.17	42	183.67	113.33	144.75	58.50	48	27	176.33	1314.37	734.33	529.50	628.33	265	1596.73	521.50	365.08	425.33
LVA_3964.t1	836.50	1007.50	477.50	379.00	767.50	671	518	942	528.50	430	883	527	894.50	379.50	501.50	737.00	862.50	1193.50	349	178	173.50
LVA_3490.t1	3.50	3.50	10.50	7	3	10.50	13	12	19.50	29.50	3.50	3.50	195	117.50	120	79	101.50	67.50	123	86.50	95
LVA_3490.t1.1.5f2bf5f5	3.50	1.50	9.50	7	3	10.50	15	12	19.50	29.50	3.50	3.50	171	104.50	111	68	78.50	54.50	105	71.50	84
LVA_4388.t1.1.5f2bf627	1320.00	1659.83	887.83	679.50	1291.67	1323.83	898.50	862.50	1168.50	117.50	129	197.50	258.50	161.50	167.50	259.50	228.50	235.50	263.50	192	209
LVA_4388.t1	1317.00	1654.83	881.83	674.50	1285.67	1313.83	898.50	856.50	1165.50	117.50	127	196.50	232.50	134.50	141.50	223.50	206.50	241.50	161.50	126	127
LVA_4208.t2	7713.50	9217	6635.50	5627.50	8143.58	9506.00	9572.50	7390	7525.50	8052.50	8037.00	9745	5665.50	3469.00	3976.50	2836.00	2890.33	4170.33	3920.50	2601.33	2681.83
LVA_4208.t1	2356.50	2753	1984	1661.50	2893.50	2887.50	1681	1560	2065.50	1080.50	1396.00	2157	1486.50	968	1011.50	832	837	1141.00	903.50	612.50	614.50
LVA_4794.t1	0	1	0	0	0.50	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0
LVA_3309.t1	2	6.20	3.25	13.20	6	3	4.20	17.70	14.20	6	3.20	7	5.92	10.75	12	6	0	2	19.83	10	8
LVA_3748.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LVA_3003.t1	12	24	8	38	68	57	18	13	68	70	14	65	6	2	0	9	9	5	0	0	0
LVA_3395.t1	229	242	299	142	130	161	302	309	280	85	125	143	135	58	75	37	52	106	143	122	99
LVA_3677.t1	572.00	661	1087.00	330.00	621	344	662	959.00	312.00	72	36	189	296	180	214	174	135	186.00	195	127	164
LVA_3343.t1	202	216	144	93	127	212	162	137	171	108	68	26	394.67	174.00	221	197	186.50	252	350.00	324	282
LVA_4243.t1	233	373	219	54	82	178	61	21	110	2	33	27	1174	671.00	802	803	767	737	681	364	363
LVA_3629.t1	7247	8019	8847.00	1790.50	3146.50	3866.50	14960	6081.50	5744.00	13715	9277.50	9997.00	7940.00	5963.00	7503.50	1455	1747.50	772.50	10308	4652	5762
LVA_4326.t1	8297.00	11472.00	5972.00	6226.00	9035.00	11132.00	6061.00	5228.00	4606.00	5273.00	2977	6067.00	24382.00	14392.00	23168.00	19102.00	18595.00	21760.00	10369.00	7268.00	7144.00
LVA_3283.t1	298	457	277	284	175	300	149	164	321	87	37	61	576	417	438	346	312	248	427	261	250
LVA_3539.t1	571	642	397	591	583	1044	1607	1891	981	75	97	100.00	462	310	263	907	589	1058.00	265	213	221
LVA_3743.t1	0	0.12	0.10	0	0	0	0	0	0	0	0	0	0	0.11	0.20	0	0	0	0.10	0.60	0
LVA_3353.t1	13	20	17	12	52	28	6	31	19	6	6	9	14	1	5	1	10	0	5	3	5
LVA_2985.t1	753	797	676	1082.50	1315.50	1137	732	623	803	202	308	388	52	40	42	62	37	109	68	68	53.00
LVA_3657.t1.1.5f2bf604	138	177	75.50	50	65.50	27	67.50	75	59.50	26	19.50	25.50	78.50	33	39.50	33	38.50	34.50	52.50	33	37.50
