L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_23577.t1	1716.67	2030.17	1166.50	911.92	3062.58	3022.17	518	614.33	588.50	210.17	143	276.92	1137.77	719.25	704.75	993.67	800.50	889.87	448.33	278.92	265.50
LVA_24179.t1	8	9	7.50	4	12.50	11	3.50	1.50	3	1.50	3	1.50	55.50	22	79.50	31.50	22.50	42	40.50	22.50	24
LVA_24479.t1	424.83	514.67	272.50	118.50	271.33	366.83	392.50	199	242.50	55.50	166.10	176	203.33	91.50	148.50	44	80.50	73.50	133.50	140.67	111.50
LVA_23461.t1	1718.17	2137	1457	1208	1694.50	2379.33	1007.67	850	1442.50	943	1316.50	1017.50	900	497	789	415.50	439.50	615.50	673	433	461
LVA_25860.t1	61	120.33	58.17	12	42.17	198.50	17.50	12	182.33	50.67	41.50	15	74.83	35	52.00	9.83	10.50	4	690.50	844.17	839.60
LVA_25010.t1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
LVA_23411.t1	1102	1243.33	964.50	604.75	1390.42	1305.17	1595.67	616.17	1737.00	321.50	650.50	380.25	460	332.00	334.83	202	145	80.75	308.33	233	228.25
LVA_24285.t1	1.75	4.83	3.07	1.75	4.56	6.02	2.93	9.92	6.73	0.70	2.63	3.20	3.33	2.30	2.62	3.48	1.42	2.28	2.08	1.00	2.51
LVA_25759.t1	1097	1152.00	1055	680.00	414	1609.00	1537	798	1116.00	531	479.00	441.00	767	640.00	702.00	1742.00	848.00	863.00	987.00	697.00	704.00
LVA_25853.t1	4.83	1.35	4.53	15.31	18.47	23.16	0	0	0	0.14	0	0	0.14	0.39	0.17	0	0	0.14	0	0	0
LVA_25766.t1	337	335	318	247	957.00	466	433	440	501	104	174	153	389	171	242	314	381	353	386.50	315.50	390.50
LVA_24582.t1	197.78	230.33	161.20	300.95	347.11	362.59	231.70	70.75	169.00	14.40	10	13.70	738.25	484.10	571.73	202.67	351.31	452.38	557.25	463.79	487.18
LVA_23919.t1	0	0	0	2	2	2	1	2	2	0	0	2	1	1	10	17	20.33	2	4	2	4
LVA_25555.t1	1594.08	1850.58	1461.67	1117.50	2728.33	1399.83	1643.10	1120.50	1641.77	866.83	381.50	291.90	1895.00	1209.50	1787.43	1231.46	1834.83	2052.46	1071.33	461.33	604.67
LVA_25458.t1	3.50	7.25	0.50	1.25	2	31.50	1	6.75	8.75	1.50	11	0.50	22.50	19.75	38	7.25	29.25	17.50	72.67	25.75	24.92
LVA_25458.t2	3.50	6.25	1.50	2.25	3	35.50	0.50	7.25	6.25	1.50	7.50	0	27	15.25	36	8.25	25.25	18	62.67	31.25	31.42
LVA_25055.t1	62	116	2	4	4	5	169	2	189	1	37	1	38	8	4	4	1	4	1	3	1
LVA_26742.t1	3.50	3	9.67	0	1.50	1.50	0	2.10	13.78	1	3	0.62	12.57	4	1.85	2.11	7.32	3.62	24.67	14.74	11.64
LVA_25092.t1	0	0	25	6	31	1	0	0	0	5	0	2	0	0	0	0	7	0	0	5	4
LVA_26279.t1	228	338	131	102	265	167	165	235	277	22	17	42	602	352.00	415	170	139	197	375	287	280
LVA_23262.t1	0	0	0	0	0	0	0	0	1	0	5	3	4	12	12	10	10	16	41	32	26
LVA_26498.t1	0	0	0.35	1.23	0.36	0.55	0	0.21	0.69	0.40	0.12	0	1.27	0.45	1.59	0.41	0.31	1.46	1.44	0.42	0.83
LVA_24680.t1	3	2	57	1	1	4	95	4	3	0	1	1	0	2	2	0	2	0	0	0	0
LVA_23597.t1_LVA_23599.t1	19.50	19	125	28.50	48.75	53.50	32	85.50	87	5	30	5.50	3	1.50	3	6	2.50	1	9	6.50	4
LVA_24326.t1	14.50	20.50	21	30.50	14	36.50	23.50	111.50	42	135.50	58.50	134	58	47.17	57.50	59.83	57.17	49.50	47.50	33.50	25.50
LVA_23843.t1	146	195	111	159	507	290	160	208	158	74	102	107	1774	1775	1283	1470	787	1283	1430	1325	1332
LVA_26227.t1	97	116	130	69	154	359	64	277	81	26	32	45	189	155	106	33	37	49.00	194	158	146
LVA_24853.t1	0	0	0	0.33	0	0	1	1.33	0	0	0	0	0	0	0.33	0	0	0	0.33	0	0.67
LVA_25805.t1	513	916	0	0	5	86	1	33	0	0	0	19	2	0	1	8	0	0	101	194	123
LVA_25178.t1	1	0	0	0	0	0	0	0	0	0	0	0	2	6	0	1	1	10	1	0	1
LVA_23917.t1	64	93	10	5	18	22	10	39	12	3	7	44	562	429	414	568	444	597	507	384.00	495
LVA_24293.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20	0	0	0
LVA_25127.t1	0	0	4.50	10.50	26.50	6.50	2.50	2.50	11	1.50	12	16.50	15.50	2	3.50	0	1	3	1	0	2
LVA_23388.t1	0.62	0.67	0	0	1	0	0	0	1.12	0.81	0	0	7.19	3.27	6.43	37.90	0.96	2.83	2.14	0.60	0
LVA_24928.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	0.25	0
LVA_24848.t1	50	76	30	61	111	81.33	21	38	73	9	9	8	5	9	2	1	0	0	5	11	8
LVA_26258.t1	371	514	291	239	369	501	128	155	150	34	47	46	81	31	62	59	44	79	48	37	32
LVA_25344.t1	630	875.00	355	353	710	663	272	480	531	97	95	172	140	31	106	48	27	10	157	82	105
LVA_23276.t1	50.50	41.50	41	139.50	133	94	7	36.50	15	124.50	1	550	24557	8908.00	11712.67	146	80	100	6572.50	4830.00	5221.50
LVA_25687.t1	0	0	0.14	2	0	1.14	0	5	1.17	1	0	0.50	1	0	0.14	0	0	3.78	0	0	0.67
LVA_23578.t1	21	25	13.50	6	15	12.50	14	9.40	12.50	3	6	6.50	100.33	116.40	95	60.17	52.50	35	114.67	105.83	86
LVA_26201.t1	0	0	0	0	0	0.50	0.50	0	0	0	0	0.50	0	0	0	0	0	0	0	0	0
LVA_25523.t1	0	0	0	0	0	0	0	0.50	0	0	0	0	1.50	1	0	0	0	0	0	1.50	0
LVA_25099.t1_LVA_25100.t1	1	0	0	0	0	0	0	0	0	0	0	1	41	16	14	18	17	6	19	27	34
LVA_23734.t1_LVA_23731.t1_LVA_23732.t1	295	385	122	24	459	423	73	153	177	27	30	75	396	198	248	167	63	108	225	162	157
LVA_23971.t1	473	550.50	738	490.50	958.50	819.50	344	474.50	298	209	148.50	316.50	326.50	236.50	242	275.50	278.50	370.83	219	160	137.50
LVA_24543.t1	180.00	171	59	56	61	139	638	221.00	18	10	5	10	29	30	25	29	18	26	143	80	84
LVA_24110.t1	230.83	302.50	186	245	301.83	243.50	392.50	402.50	317	45	68.83	212	117	69.50	87	94	95.50	84	61	44.50	28
LVA_26402.t1	221	280	213	126	235	97	253	268	196	28	19	50	99	63	177	29	57	134	260	106	94
LVA_24587.t1	0	0	1	0	12	7	2	2	12	18	5	11	6	3	0	0	1	2	4	4	7
LVA_24192.t1	1	0	0	0.50	0	0	0	1.50	0	0	0	0.50	2	2	1	0	0	2	8	9	13.50
LVA_23216.t1	0	1	0	0	0	4	0	0	1	0	3	0	3	0	1	0	0	1	17	30	30
LVA_24066.t1	0	0	0	0	0	0.50	0	0	0	0	0	0	0	2	0.50	2	2.33	1	0	0.50	0
LVA_24287.t1	43.50	54.50	64.50	59	71.57	48.50	27.50	70.50	61.50	2.50	17.50	11.50	21	8	12	9.50	11	12.50	10	11.50	11
LVA_23440.t1	2	1.50	2.50	5.50	1.50	2	0.50	0	0.50	4.50	4	1	3117.50	1262	1435.67	1079	858	909.63	1125.38	483.83	610
LVA_26129.t1	147	166	57	40	112	351	119	197	194	29	43	91	207.00	124	94	11	25	12	204	79	87
LVA_25833.t1	30.20	10.17	34.35	94.69	142.15	161.90	0.12	0	0.24	0.14	0.22	0.33	1.86	1.73	1.56	1.12	0.87	1.24	0.24	0.28	0
LVA_24681.t1	119	102	156	156	493	364	259	102	356.00	340	221	133	799.50	505.50	909.50	671	963.50	1828.50	974.50	591.50	553
LVA_26085.t1	2.48	1.90	3.14	1.49	3.14	0	12.93	8.50	6.64	0.50	5.26	41.21	20.15	7.41	8.84	15.41	4.49	12.98	6.79	5.56	3.79
LVA_24203.t1	1043.83	1046.50	941	594	1273.50	668	2395.33	1991.00	749	1800	529.50	1546.33	335.50	295	404.83	227.50	294	236.33	356	238.83	183
LVA_24914.t1	0	1.20	0	0	0.25	1.70	0	0.67	0.25	0.70	0.83	0	6.18	1.37	3.08	2.90	8.67	0.92	3.55	9.17	6.40
LVA_23335.t2	239	303.92	111.50	128	293.83	192.50	72.42	52.50	61.75	38.75	49.75	79.25	181.92	100.42	117.58	106.75	81.33	104.83	137.75	100.75	102
LVA_23335.t1	227	283.25	103	116	279.17	176.50	71.25	49.50	58.75	37.75	45.25	71.75	170.25	94.42	113.25	101.25	77.33	101.33	132.25	93.25	94
LVA_25966.t1	175	139	138	322	190	502	738	256.00	615	32	484	270	30	12	16	23	75	25	5	31	13
LVA_26368.t1	50.50	68	56.60	49.60	64	85.50	45.20	82.50	55	27.50	20	28.30	392.70	202.60	278.85	220.80	182.30	213.20	302.20	165.30	194
LVA_26314.t1	205	234	188	173	236	223	232	209	263	86	149	345	567	394	484	268	322	398	393	237	225
LVA_25704.t1	0	0	2	1	2	0	0	1	0	0	0	0	7	1	7	9	2	16	6	10	32
LVA_23450.t1	18	20.50	21.50	20	29	15	56.50	17	24.50	6.50	2.50	5	577	422.50	551.50	696	316.50	601.50	344	293.50	282
LVA_23171.t1	75	70	23	89	107	45	37	71	52	11	9	26	1604	969	883	895	1243	1476	965	621.00	589
LVA_23177.t1	3	0	23	15	3	19	4	9	9	3	0	0	13	6	24	4	4	20	18	7	7
LVA_24899.t1	0.11	0	0	0	0	0	0	0	0	0	0	0	3.31	0.70	0.77	0.10	0.48	0.12	1.11	1.44	0.12
LVA_25186.t1	2	4	4	14	0	6	20	30	2	1	17	6	2757.33	1742.83	1829.33	3160.83	2115.42	3020	1749	1338.75	1249
LVA_26160.t1	1879	2001.00	1981	1585.00	2140.00	4012	1557.50	1397.00	1585.00	494	333	584.00	3715.00	2341.00	3054.00	3351.00	2646.00	3739	2504	1450	1642.00
LVA_25937.t1	4	5.50	7	10	16	0	15	15	28	2	12	10	21.50	9	7.50	22.50	8	17	11.50	8	14.50
LVA_23913.t2	567	643.50	210.50	182.50	327	772.50	221	251	235.50	54.50	55	110.50	343	169.50	242.50	243	198	231	179.50	114.50	91
LVA_23913.t1	381	432.50	137.50	119.50	229	520.50	109	131	127.50	31.50	24	55.50	227	112.50	164.50	164	127	153	111.50	75.50	54
LVA_26417.t1	740	862	821	711	1148	699	896	485	815	619	385	1135	364	262	200	165	208	112	370	330	367
LVA_24710.t1	33.45	51.72	24.93	29.82	30.34	22.20	20.24	15.15	5.71	2.68	0.38	1.25	34.04	37.31	13.10	37.05	40.40	82.63	4.46	8.21	3.68
LVA_26381.t1	136	91	228	543	196	886	107	129	412	316	203	164	774	553	601	523.00	787	567	535	300	301
LVA_25519.t1	15719.42	19144.15	12547.94	13455.30	21398.00	21260.89	13632.77	12792.03	12780.65	3165.24	3590.93	6414.50	5682.83	3648.00	3948.92	6844.83	5965.90	9815.00	2366.67	1625.67	1682.50
LVA_26265.t1	20	21	4	20	20	28	36	174	11	8	6	4	72	55	54	54	24	47	47	26	27
LVA_23320.t1	8.83	6.50	9.67	16.08	25.83	26.33	13.83	24.83	17.00	18.00	4.33	2.67	50.83	13.67	24.33	14.00	9.50	26.17	30.67	71.67	76.83
LVA_24662.t1	0	0	0	0	0.12	0	0.14	0	0	0	0	0	0.29	0	0.17	0.12	0	0	0.25	0	0.64
LVA_25818.t1	510	705	298	464	1075	526	229	159	218	66	309	597	26160.00	22031.00	24210	6941	10307	11140	41352.00	27241.00	29614.00
LVA_23730.t1	742.33	617.50	138.67	183.03	797.83	1408.23	390.67	163.83	256.50	18.17	74.50	74.00	6317.33	3469.50	3819.64	5835.33	4564.67	4581.67	951.33	280.08	477.67
LVA_23229.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_26297.t1	324	332	266	252	427	319	184	378	330	24	34	90	1247	552	1810	182	360	294	2628.00	1338	1789
LVA_26594.t1	0	0	0	0	2	9	2.50	0.50	1	1.50	0.50	0.50	1	1.50	0.50	0.50	0	1	0.50	0.50	1
LVA_25967.t1	1670.00	1843	1361.00	1070	2394	2107	735	889	1157	138	370	711	895	675	601	415	443	353	828	583.50	538
LVA_26177.t1	437.33	568.67	196.33	172.29	556.25	274.17	141	125.58	134.33	117.83	87.50	113	431.33	469.83	363.50	366.50	610.42	598.00	255	156.50	248.78
LVA_26625.t1	0	2	1	0	1	0	1	0	0	5	1	1	75	94	77	72	81	33	232	213	176
LVA_26385.t1	347	408	125	234	158	120	199	146	66	28	21	139	482	83	331	139	176	88	376	166	211
LVA_26373.t1	792.37	959.00	706.58	546.67	1104.50	830.67	799.33	978.20	763.33	322.67	389	252	1475.83	809	1040.17	1183.00	970	1559.33	1061.50	701.00	817.33
LVA_25159.t1	5940.00	7482	4384.00	2742	3645	1627	5406	3692	3018	4006	5214	3182.00	573	401	523	397	422	329	1070	877	705.00
LVA_24558.t1	0.50	0	0	0	0	0	0.50	0.50	0	0.50	0.50	0	0	0	0	0	0	0	0	0	0
LVA_24772.t2	211.50	284.50	172.50	179.50	230.50	292.50	223	321	273	22.50	45	39.50	382.50	229.50	261	155.50	193.50	223.50	330.50	279.50	259
LVA_24772.t1	211.50	284.50	172.50	179.50	230.50	292.50	223	321	273	22.50	45	39.50	382.50	229.50	262	155.50	193.50	223.50	331.50	279.50	258
LVA_23391.t1	0	0.50	1	2.50	0	1.50	0.50	0	0	0.50	0	0.50	11.50	5.83	8.83	7.17	3	1.50	109.50	130.83	267.17
LVA_25181.t1	32	48.50	30	74	157.50	71	217.67	126.50	25.00	89	6	5.33	2219.17	2702.83	1208.83	1014.83	1579.17	1974.67	1868.67	2055.58	2719.92
LVA_23841.t1	1976	2342.50	1683	740	1704	2488	1432	1937.00	1850.00	399	537	669	2586.00	1925.33	1999.00	2515	1462	3435	3195.00	2016.00	2465.00
LVA_24209.t1	67.67	99.27	7.84	22.69	22.89	5.45	4.64	6.68	17.64	1.50	3	1.83	13.68	19.31	29.97	3	10.64	1.50	89.86	161.47	118.07
LVA_24442.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_24518.t1	0	0	0	0	0	67.82	0	0	0	0.33	0	0	0	1.50	0	0.17	0	3.70	0	2	0
LVA_23776.t1	0	0	0	0	0	0.83	0	0	0	0	0	0	0	0.50	0	1	0	0.50	0.83	0.50	0.33
LVA_24740.t1	159.17	255.17	93.17	90.00	175.33	175.83	101.50	319.67	182.83	2.67	83.17	47.00	73.83	58.33	49.00	66.00	72.33	74.17	51.67	52.67	34.33
LVA_24740.t1.1.5f2bf4be	158.50	265.50	90.50	93	171	168.50	92.50	337	191.50	1	86.50	46	53.50	43	39	45	50	38.50	41	45	26
LVA_26604.t1	2520	2496	1318	2431.20	3260	1954	2159.50	4542.33	3936.00	1593	2373.00	2724	1673.00	784	1029.50	1484.00	1260.14	1425.00	949	1036	799
LVA_26070.t1	222	304	378	94	341	242	37.50	126	66	16	7	34	164	100	131	55	74	95	87	54	90
LVA_26155.t1	1267	1273	919	1159	551	1369	575	518	591	295	294	478	2636.00	1511	2094	869	1040	1158	2926	2006	1719
LVA_24000.t1	55.50	66	122.50	51.50	44.50	112	72	154	51.50	6	3.50	31.83	471.40	301	371.50	190	244	385.50	322.50	219.50	199
LVA_23234.t1	257	361	471	185	321	760	55	155	184	15	29	246	1455.00	893	1107	2719	2530	4302	539	368	453
LVA_23188.t1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0
LVA_23810.t1	294	384	237	65	23	129	14	64	373	7	28	43	216	76	131	15	26	7	151	160	69
LVA_25589.t1	1.45	4.88	0	0	0	1	0	0	0	0	0.58	0	0.20	0	1.20	0	0	0	0.58	1	0
LVA_25526.t1	102.23	158.58	57.83	18.33	94.67	168	8.42	50.08	25	5.57	4	13.08	1199.83	811.83	916.17	918.00	615.08	1142.83	1710.50	861.75	961.33
LVA_25398.t1	783	1038	847	220	890.00	1061	538.00	343	609.00	137	67	57	393	212.00	221	184	160	211	241	202	147
LVA_25859.t1	616.10	724.00	530.77	350.50	883.67	1084.62	490.43	656.50	449.00	37.50	72.83	208.33	336.75	210.93	210.33	111	126.17	74.60	235.33	158.33	148.92
LVA_26686.t1	0.50	0	0	0	0.33	0	0.50	1.83	0.33	0.50	0	21.17	1.50	5.33	0.33	4.17	0.50	1.83	0	2.33	1.33
LVA_24376.t1	110	121.67	186	53	118	101	83	185	153.17	55	45.50	84	522.25	355.17	420.75	172.92	207.50	243.33	437.25	328.42	285.25
LVA_26215.t1	1411	2075	833	841	941	1116	1502	1389	1124	2036.00	1990.00	1927	558	305	371.00	182	456	231	429	356.00	335
LVA_24288.t1	3.50	12	0	0.50	5.33	4.25	0.50	0.50	0.50	0	0	1	60.83	55.75	54.25	4.33	1	9	232.83	250.50	246.58
LVA_23328.t1	0	0	0	0	0	0.50	0	0	0	0	1.50	0.50	172.50	51.50	73.50	3	0	53.50	102	136	111
LVA_23238.t1	3077.00	3633.00	3145.33	2735.50	3922.00	4532.53	7355.00	2584.00	2407.00	2703.50	1414.00	1588.60	4309	2687.50	3599.50	1719	1776	4071.50	4217.00	2946.50	3033
LVA_25563.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92	1.33	0.33	1	1.33	1.08	7.03	11.09
LVA_24162.t1	0	0	0	0.20	0.25	0	0	0	0.25	0.25	0	0	0	0	0	0	0.20	0.53	0	0	0
LVA_24128.t1	128	118.50	178.83	59.40	136	268.17	71.50	210	238.33	33	58.83	37.50	489.67	325.73	145	99	131.50	140.40	188	306.17	252.50
LVA_26595.t1	0	0	0	0	0	1	0.50	0	0	1	0	0	0	0.50	0	0	1	0.50	0	0	0
LVA_23436.t1	76.67	59.50	16.50	128	244.58	67	62.50	115.50	38.50	49.50	11	26	546	248	383.25	290.50	352.50	363	580	524	456.50
LVA_24864.t1	60	79	90	51	92	106	58	88	70	14	18	30	310	159	112	50	24.25	60	277	267	306
LVA_24235.t1	13.50	9	10	7	28	12.50	3	12.50	22.50	3	19.50	9.50	55.50	48.50	43.50	15.50	58	30	115	194	105.25
LVA_23678.t1	2	2	19.50	4.50	6	5.50	4	10.50	9.50	1.50	3.50	1.50	0.50	0	0.50	0	0	1	1	0	1.50
LVA_23968.t1	844.50	743.50	852.83	537.33	1262.50	1060.50	571.50	1027.33	1320.33	994.00	665.50	1125.50	793.50	448.67	465	571.50	1216.50	1208.50	438	259.83	356.50
LVA_25102.t1	108	160	94	84	172	273	79	12	134	48	49	69	476	289	356	365	378	367	333.00	245	316
LVA_24357.t1	110	61.83	153	89.17	38	79.83	119	103.50	122.50	48.83	51	23	196.25	131.33	151.00	101	96.83	99	141	115	124
LVA_23895.t1	168	130	246	105	482	552	294	241	120	129	42	111	256	135	148	99	110	110	148	83	89
LVA_25404.t1	12.50	10	12	69	60	8	11.50	14	11	2	5	4	12.50	6	10.50	28	73	5	13	20.50	25.50
LVA_26754.t1	325	239	375	207	284	361	132	131	219	46.50	34	40	1845.50	1313	1460.33	1050.75	1022	1099.33	1323	789.33	888.83
LVA_25439.t1	1	0.50	0.50	1	0	5	0.50	0.50	0	0	0	0	1.50	1	0.50	4.50	1	283.33	2.50	9	9.50
LVA_26494.t1	2	1	0	0	2	0	0	2	5	0	4	1	2	6	0	1	1	0	38	84	92
LVA_23852.t1	305	330	418	59	773	824	308	281	425.00	147	157	59	1861.00	977	1006	1344.00	999	2308	1248	786	762
LVA_25694.t1	746.00	1050.50	614	311.50	912.50	931.50	259.33	272.00	384.50	88	135.50	262.50	270	123	156.00	170.00	133	196.50	141	111	118
LVA_26600.t1	79	100	45	15	90	53	50	86	204	32	33	36	101	50	49	58	73	105	83	106	112
LVA_25696.t1	1028	1147.11	976	518	1628	2823	312	1425	1767	370	1426	645	1027	788	814	1070.00	870	1052	868	751	651
LVA_23808.t1	1193	1394.00	919	933	2344	3125	1478.00	1909	1604	1486	886	1185	987	775	790	904	774	817	774	454	513
LVA_23727.t1	228.50	303	398	311	523	441	195	161	376	141	211	300	969	281	311	194	257	359	596	539	405
LVA_25020.t1	285.00	301.00	167	219.00	399	120	74	235	240.00	25	14	55	311	249.00	239	211.00	193	533	210	156	135
LVA_26565.t1_LVA_26566.t1	2	2	2	0	3	3	3	3	1	6	0	2	3	2	0	1	1	7	13	15	30
LVA_24807.t1	18	14	10	10	10	39	3	28	25	3	8	8	4	2	12	2	4	10	12	5	6.50
LVA_24358.t1	0.50	0	0	2.50	3	1	0	0.50	2	0.50	0.50	10	78	36.50	76	8	6	2	64.50	38	41
LVA_24217.t1	156	218.50	64.50	192.67	111.43	242	93.50	63	112	15.50	14.50	23.67	161	78	85.50	53.50	44.50	84.50	109	62.50	67
LVA_26735.t1	279	215.50	585	510	345	464.50	250	157	99.50	233	49	53	792	433	540	349.50	436.50	586.50	500	388	334
LVA_25944.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_26223.t1	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0
LVA_25054.t1	2342.50	2841	4040.33	859.50	1998.00	4840.50	1880.83	1242.33	3105.00	67	215.33	436	1744.00	1122	1206.50	749	388.67	535	1832.67	1279.33	1449.50
LVA_26233.t2	75.50	92	83.50	87.50	97	144	94.50	134.50	140	452	319.50	325.00	278	203	210.50	157.50	107.50	159.50	264.00	155	216
LVA_26233.t1	79.50	97	84.50	90.50	99	148	97.50	135.50	142	465	325.50	337.00	283	211	214.50	157.50	109.50	163.50	270.00	156	221
LVA_25245.t1	30	36	42	118	90	100	80.50	138	124	47	148	97	286	213	374	761	381	586	243	138	154
LVA_23938.t1	304.50	509	448.17	352	247.50	50	195.50	212	63.50	21.50	15.50	71	868.33	453	746.50	287.33	353.50	337.50	962.50	517.50	495.67
LVA_24125.t1	850.50	838.35	606.46	465.33	1054.30	1062.00	300.67	465.42	678.17	161.83	235.17	351.17	170.17	89.17	93	91.50	90.50	83.75	76.92	76.75	70.25
LVA_24125.t2	850.50	838.35	606.46	465.33	1054.30	1062.00	300.67	465.42	678.17	161.83	235.17	351.17	170.17	89.17	93	91.50	90.50	83.75	76.92	76.75	70.25
LVA_25317.t1	11	8	3	5	0	9	5	4	19	1	22	3	158	97	99	72	67	151	254	139	172
LVA_23179.t1	0	4	2	4	3	2	3	6	7	5	19	22	1524.00	782	951	67	28	3	669	438	409
LVA_25415.t1	118	147	128	121	325	100	140.00	172.00	152	261	138	111	293.00	152	208	268	140.00	235	202	189	167
LVA_26621.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0
LVA_25624.t1	258	336	219	133	353	281.50	308	216	344.50	83	91	62	332	234.50	231	311	354	446	124	116	120.50
LVA_25689.t1	37	43	33	37	141	88	74	80	47	5	10	7	14	5	35	7	22	18	54	4	12
LVA_24614.t1	3	7	0	0	2	4	14	3	3	5	6	0	385	323	270	387	210	328	376.00	327	339
LVA_25046.t1	364	399	374	103	126	278	37	91	57	44	10	25	705	389	533	266	295	591	666	377	392
LVA_23419.t1	8.83	6.50	9.67	15.83	25.83	26.33	13.83	24.83	17.00	18.00	4.33	2.67	50.83	13.67	24.33	14.00	9.50	26.17	30.67	71.67	76.83
LVA_26228.t1	1076	1228	787	924	1084	1436	998	553	884	361	456	456	344	196	176	282	243	301	165	248	140
LVA_25993.t1	6	1	1	1	14	58	5	7	0	1	1	0	2	1	0	70	3	15	5	15	45
LVA_24767.t1	0	0	0	0.50	0	0	0.45	0	0.20	0.12	0.62	0	0	0.12	0.50	9.76	3.11	3.32	0.33	0.32	1.38
LVA_26330.t1	95	84	31	57	106	157	26	45	54	29	17	9	143	116	122	151	146	158	124	101	103
LVA_24535.t1	300	257	204	388	879	260	324	207	165	17	17	34	626.70	444	545	581	466	408	641.50	347	286.00
LVA_26421.t1	1222	1866	675	745	1553	1540	787	1164	1273	304	354	355	384	263	197	420	320	434	190	180	173
LVA_23825.t1	3317	3832	2290	1998	1440	1917	1657.00	1400	1642	538	701	604	1008	750	663.00	586	818	552	554	403	402
LVA_26434.t1	1	1	2	5	8	11	7.00	6	3	1	0	3	2	1	1	2	0	3	0	0	1
LVA_25972.t1	955	1384	715	542	1062	1512.50	444	623	762	387	289	414	1151.00	738	659.00	977	878	1290.00	618	495	582.00
LVA_25096.t1	164	56	498.00	353.00	1200	155	141	234	79	79	58	308	763	573	570	733	722	677	497	379	335.00
LVA_26371.t1	2.70	2.50	2.03	1.37	0.82	0	0.17	1.83	0.33	1.53	0.17	0	13.51	11.68	3.47	7.33	16.88	24.54	2.89	9.30	4.02
LVA_24017.t1	10.50	15.50	6	9.50	23	13	3.50	5.50	25	1	2	8	10	3.50	5	2	2.50	5.50	4	5	5
LVA_24164.t1	2522.33	2760.17	2307.67	2384	2361	2523.83	2292.33	2172.50	1908.67	2214.50	3430.83	2446.00	1996.67	1063.50	1505.50	3242.50	4228.40	3734.67	958	527.83	526.50
LVA_23155.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
LVA_25907.t1	5	7	39	6	34	2	12	9	27	70	5	5	30	64	30.50	3	66	12	82.50	143.20	124
LVA_26210.t1	144.37	116.52	154.09	196.24	428.62	621.51	23.42	49.95	14.78	7.33	2.83	10.50	3528.52	1568.82	1034.20	2574.51	1823.53	2417.98	389.54	100.13	188.29
LVA_26710.t1	5	3.50	3.50	6	13	18	27.50	5	12.50	11.50	6	1	9	8.50	11.50	13.50	7	6	14.50	2.50	15
LVA_24861.t1	284.67	318.83	187	182	534	443	120.33	120	254	15	34	46.00	75	53.33	45	184	87	103	51	50	58
LVA_24316.t1	146.50	143.50	248.50	128.50	113	288.50	137.75	70.50	87.50	21	13	20.50	172.33	99	111.50	84.50	85.50	117.25	95.50	60.50	57.50
LVA_24568.t1	1347	1521	237	169	596	459	326	199	390	13	25	30	145	76	79	53	40	25	133	126	86
LVA_26238.t1	53	53	112	81	115	78	106	112	214	44	54	54	580	465	399	488	395	401	341	271	228
LVA_25736.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
LVA_25726.t1	0	0	0	0	0.50	0.50	0	0	0	0	0	0	0	0	0.50	3.50	1	0.50	0.50	0	0
LVA_23729.t1	8	4	15.50	23.50	28.50	10.50	22	22.50	6	5	2	21.50	136.67	34.50	36	31.17	21	22.50	55	41.50	60.25
LVA_25081.t1	0	2	1	1	0	1	1	0	0	0	0	2	29	18	24	71	44	43	13	6	7
LVA_24721.t1	0	0.50	0	1	1.83	0	0	0.33	0	0	0	0	0.50	0	0	0.50	0	0	0	0	0
LVA_24123.t1	0	0	0	0	1	0	0	0	0	0.50	0	0	0	2	2	0	0.50	0	0	0.50	1
LVA_23764.t1	0	0	0	0	0	1.33	0	0	0	0	0	0	0	0.50	0	3	0	2.50	2.83	0.50	0.33
LVA_25671.t1	0	1	193	0	7	16.83	81.33	95	45.33	16	71	18.17	34.50	175	56	2.33	10	0	91	6	3
LVA_26269.t1	1	4	3	3	12	1	5	4	3	1	4	2	15	9	34	23	31	127	12	11	1
LVA_24425.t1	0.50	0	0	0	0	0.50	1	0	0	0	0	0	0	1.50	0	1.50	1.50	0.50	0.50	10	10
