H_ery_ID	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_11480	41	50	48	146	86	76	258	155	173	79	145	244	144	121	111	57	85	75	170	116	60
HER_11481	8	34	16	58	66	48	140	86	121	46	62	76	68	74	52	24	78	44	58	52	24
HER_11482	1	1	0	0	1	2	2	0	0	0	0	1	5	3	4	6	1	2	1	0	4
HER_11483	46	17	83	62	63	55	82	92	91	53	67	154	1223	1454	1181	853	1141	927	1294	1065	595
HER_11484	190	115	602	396	662	336	1128	599	456	371	768	995	1229	1850	1330	692	1038	890	1228	880	341
HER_11485	371	426	476	2305	1675	1302	3654	3227	3959	1618	2500	2659	3516	4359	2727	2062	1759	1503	1933	1425	712
HER_11486	0	0	0	2	1	1	0	1	3	0	1	4	1	6	0	1	2	2	1	1	0
HER_11487	1	0	0	5	4	0	3	0	3	0	2	2	5	6	1	2	2	4	1	1	1
HER_11489	0	0	0	0	0	0	0	0	0	0	0	1	6	13	6	1	6	4	5	2	1
HER_1149	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HER_11493	6	72	24	104	143	128	580	317	260	221	407	236	43	66	39	13	33	35	36	64	7
HER_11494	10892	13628	13302	15299	10806	8922	21022	12466	15985	5161	10381	15709	29283	23184	16879	7952	10334	9245	19834	12908	3744
HER_11495	4	12	5	149	27	104	89	79	157	34	58	79	11411	9764	10822	13865	23757	19483	27415	17857	7942
HER_11496	48	81	35	79	41	67	50	52	157	41	38	98	19337	16785	19013	23577	28687	27187	33335	22737	9978
HER_11497	3	2	0	13	17	19	24	4	4	1	8	5	22	22	31	13	14	43	13	16	7
HER_11498	12852	13775	8310	6448	6096	4812	4646	2322	5014	2660	4370	6004	78174	66555	35038	18500	24118	23749	31676	20570	10812
HER_11499	173	377	836	3342	2455	2029	4220	3073	3736	1501	2597	2560	931	928	645	569	1090	824	1220	1006	505
HER_1150	0	0	0	1	1	0	2	0	2	0	2	1	7	1	2	0	2	0	0	0	0
HER_11501	0	0	0	1	0	0	2	1	1	0	3	4	0	8	1	0	1	0	1	0	0
HER_11502	0	0	1	3	0	1	11	3	14	2	10	25	3	26	9	4	4	0	3	1	1
HER_11503	15	36	101	429	235	221	814	461	594	164	261	381	138	123	97	50	175	122	221	185	52
HER_11506	42	8	9	51	99	32	51	14	24	4	21	60	126	98	37	31	65	40	45	76	35
HER_11510	102	44	14	112	213	89	97	27	61	27	104	186	502	526	195	250	276	243	202	166	162
HER_11514	0	0	0	0	1	1	6	0	8	0	4	4	0	0	1	2	0	0	1	1	0
HER_11515	2	0	0	1	4	2	8	13	18	2	6	9	1	4	1	1	5	3	2	3	2
HER_11516	4	2	0	4	5	2	16	6	10	23	22	9	4	5	1	14	2	1	6	1	6
HER_11517	40	49	40	200	179	124	394	394	187	132	188	162	124	78	88	55	64	62	94	100	30
HER_1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
HER_11520	36	28	15	61	114	51	180	233	439	159	137	82	27	59	61	13	15	7	9	8	3
HER_11521	20	18	30	184	153	92	305	162	246	48	129	194	56	65	43	21	34	26	35	39	17
HER_11525	31	46	52	332	207	138	483	251	395	83	216	296	93	102	93	38	46	26	54	43	17
HER_11526	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	5	2	0	2	1	0
HER_11527	66	83	134	897	578	458	1570	869	1192	355	770	912	263	324	184	81	146	88	141	114	74
HER_11529	230	226	267	1703	1538	1250	1725	1171	1316	498	1309	1183	1006	1145	699	795	1127	960	678	544	415
HER_11530	478	1512	676	854	946	847	3083	1503	1514	652	1415	1275	1161	769	532	247	568	383	769	545	163
HER_11531	272	752	313	394	492	456	1251	647	494	434	872	584	490	359	237	141	246	187	304	207	78
HER_11533	0	0	1	0	0	0	0	0	0	0	0	0	6	8	6	1	3	1	2	3	0
HER_11534	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0
HER_11537	0	0	2	10	8	10	16	4	12	2	22	4	0	4	0	0	0	0	0	2	0
HER_11541	4	12	12	2	6	0	7	20	26	11	2	26	5	14	4	2	3	0	2	3	1
HER_11542	0	4	4	1	2	1	2	26	4	11	0	7	35	16	5	0	2	0	1	3	1
HER_11543	0	12	0	1	7	0	6	12	2	1	0	0	6	1	1	3	0	1	1	0	1
HER_11544	20	39	38	299	190	185	155	150	176	125	166	328	20	70	39	36	36	27	34	24	11
HER_11545	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	2	0
HER_11546	1	0	5	13	3	1	24	4	11	2	19	6	5	0	1	3	2	0	2	0	2
HER_11549	38	34	37	530	330	390	875	480	362	200	694	388	88	102	77	216	67	139	106	89	78
HER_11552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_11555	3	13	1	45	60	17	38	38	33	18	34	69	6	14	3	5	13	5	16	10	13
HER_11556	6838	5036	4549	2815	4114	3032	5439	3201	3291	2158	3868	3930	1334	1780	1192	842	878	656	826	717	415
HER_11557	11	14	4	25	24	17	14	35	15	9	14	36	34	42	9	2	9	7	12	5	2
HER_11558	6	11	10	7	28	2	9	72	16	82	10	7	124	62	71	9	14	9	28	8	8
HER_11559	1	0	0	0	0	0	0	0	0	0	0	0	4	35	1	0	0	3	1	0	1
HER_11560	410	1308	500	1843	1861	1250	2571	1840	2286	718	1397	1479	1827	1669	1363	871	1282	1110	1393	990	621
HER_11562	1	4	1	7	9	16	10	6	29	2	8	12	140	88	1861	597	3368	1673	995	761	70
HER_11563	4	12	2	14	20	23	28	13	46	5	15	10	119	82	1112	309	2184	1092	461	356	59
HER_11564	0	0	0	2	0	0	1	3	7	1	1	1	1	1	2	1	0	1	1	1	0
HER_11565	2	2	1	38	9	16	30	6	22	3	16	5	0	0	4	7	12	4	9	11	2
HER_11566	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HER_11567	0	0	0	6	0	4	10	2	8	0	4	2	0	0	1	4	3	0	2	3	0
HER_11568	4	12	1	16	17	23	33	12	54	5	21	11	125	78	1147	319	2066	1024	455	359	55
HER_11569	8	6	2	120	34	44	103	28	78	10	54	32	3	8	3	47	8	8	33	29	5
HER_1157	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	0	2	1	0
HER_11570	60	8	24	127	60	27	42	25	48	9	26	68	3	33	1	90	15	3	34	21	8
HER_11571	235	29	75	33	87	31	39	91	52	77	42	33	29	25	25	14	2	1	18	13	4
HER_11572	0	0	0	1	0	0	2	1	2	0	0	1	0	1	1	1	1	0	0	0	0
HER_11574	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
HER_11575	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
HER_11577	0	0	0	0	0	0	0	0	3	0	0	2	0	3	2	0	2	0	0	0	0
HER_11578	32	28	31	47	78	54	81	57	49	48	59	116	374	530	295	274	434	385	431	335	166
HER_11579	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1	0
HER_1158	1	0	0	6	5	7	13	4	12	5	12	4	1	0	1	0	0	1	0	0	1
HER_11580	202	488	217	655	689	624	2715	1986	1748	1066	1896	1135	1382	1031	771	254	696	487	835	956	197
HER_11581	585	413	894	395	397	195	723	791	528	384	494	164	212	176	267	140	202	198	366	280	98
HER_11583	82	182	149	331	366	350	1633	927	870	735	1577	652	64	172	88	66	55	13	66	54	24
HER_11584	2	5	4	6	11	8	7	11	6	12	7	6	39	36	16	18	13	16	60	57	46
HER_11588	52	47	76	100	94	84	216	116	98	98	200	136	254	544	206	108	128	80	184	138	156
HER_11589	5	15	6	147	89	70	264	175	224	68	114	153	183	143	144	68	114	88	81	72	29
HER_1159	0	0	0	0	0	0	5	0	0	2	1	1	0	1	1	1	0	0	1	0	0
HER_11590	7	8	7	72	78	91	220	137	106	68	195	146	23	42	20	11	14	13	12	8	4
HER_11592	1	2	3	2	3	3	4	1	2	1	0	4	7	5	15	16	14	4	11	10	10
HER_11593	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	2	2	2	0
HER_11597	1309	2776	1898	9679	7949	6671	15900	10381	11447	6588	11743	11500	17679	19046	13759	5520	10045	7008	12271	9045	3791
HER_11598	395	117	3320	2926	1106	1337	1683	2159	2211	738	951	638	391	380	578	341	405	258	440	288	206
HER_11599	0	0	0	0	0	0	0	26	0	27	2	0	2	0	94	3	0	0	32	27	10
HER_116	107	62	142	173	140	111	131	163	260	38	47	111	171	214	139	134	208	110	338	189	92
HER_1160	4	6	4	12	9	4	30	14	13	6	18	16	5	9	3	2	4	2	8	6	4
HER_11600	1	1	2	0	0	1	0	0	0	0	1	0	1	1	0	29	4	3	6	3	4
HER_11601	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	3	5	16	13	1
HER_11602	16	14	15	104	143	78	355	245	266	120	206	181	199	200	161	115	109	108	286	191	126
HER_11603	0	0	0	0	0	0	0	0	0	0	0	1	7	5	4	1	7	5	3	2	3
