"gene_1","gene_2","species","coex","hpf"
"dri","pks2","Lv",1.75574490059385,6
"dri","pks2","Lv",1.07334525939177,9
"dri","pks2","Lv",0.493691716950082,12
"dri","pks2","Lv",0.121285627653123,16
"dri","tbr","Lv",58,20
"dri","tbr","Lv",4.71663619744059,24
"dri","tbr","Lv",5.46792849631966,6
"dri","tbr","Lv",2.06558223599277,9
"dri","tbr","Lv",1.52057245080501,12
"dri","tbr","Lv",1.09709270433352,16
"dri","tbr","Lv",0.606428138265616,20
"dri","wnt1","Lv",59,24
"dri","wnt1","Lv",4.09506398537477,6
"dri","wnt1","Lv",3.78548895899054,9
"dri","wnt1","Lv",0.955331784146656,12
"dri","wnt1","Lv",0.983899821109123,16
"dri","wnt1","Lv",2.46845858475041,20
"dri","wnt1","Lv",3.03214069132808,24
"dri","ets1","Lv",60,6
"dri","ets1","Lv",3.82084095063985,9
"dri","ets1","Lv",5.068349106204,12
"dri","ets1","Lv",1.6008262328944,16
"dri","ets1","Lv",0.894454382826476,20
"dri","ets1","Lv",1.70049369171695,24
"dri","ets1","Lv",1.87992722862341,6
"dri","erg","Lv",61,9
"dri","erg","Lv",0,12
"dri","erg","Lv",0,16
"dri","erg","Lv",0,20
"dri","erg","Lv",0,24
"dri","erg","Lv",0,6
"dri","erg","Lv",0,9
"dri","sm37","Lv",62,12
"dri","sm37","Lv",0,16
"dri","sm37","Lv",0.546792849631966,20
"dri","sm37","Lv",1.80738445649367,24
"dri","sm37","Lv",1.34168157423971,6
"dri","sm37","Lv",0.987383433900165,9
"dri","sm37","Lv",0.848999393571862,12
"dri","sm50","Lv",63,16
"dri","sm50","Lv",0,20
"dri","sm50","Lv",0.841219768664564,24
"dri","sm50","Lv",1.36844823134521,6
"dri","sm50","Lv",1.34168157423971,9
"dri","sm50","Lv",0.438837081733407,12
"dri","sm50","Lv",0.181928441479685,16
"dri","kirrelL","Lv",64,20
"dri","kirrelL","Lv",0,24
"dri","kirrelL","Lv",0,6
"dri","kirrelL","Lv",0.206558223599277,9
"dri","kirrelL","Lv",0.268336314847943,12
"dri","kirrelL","Lv",0,16
"dri","kirrelL","Lv",0.0606428138265615,20
"dri","foxB","Lv",65,24
"dri","foxB","Lv",0.036563071297989,6
"dri","foxB","Lv",0.0630914826498422,9
"dri","foxB","Lv",1.62664601084431,12
"dri","foxB","Lv",0.715563506261181,16
"dri","foxB","Lv",0.383982446516731,20
"dri","foxB","Lv",1.09157064887811,24
"fgf","hex","Lv",66,6
"fgf","hex","Lv",3.18098720292505,9
"fgf","hex","Lv",5.40483701366982,12
"fgf","hex","Lv",4.62174025303382,16
"fgf","hex","Lv",0.715563506261181,20
"fgf","hex","Lv",0.877674163466813,24
"fgf","hex","Lv",2.54699818071559,6
"hex","vegfr","Lv",67,9
"hex","vegfr","Lv",0.109689213893967,12
"hex","vegfr","Lv",4.58464773922187,16
"hex","vegfr","Lv",4.15698424993545,20
"hex","vegfr","Lv",1.25223613595707,24
"hex","vegfr","Lv",1.86505759736698,6
"hex","vegfr","Lv",0.848999393571862,9
"hex","pks2","Lv",68,12
"hex","pks2","Lv",0.0182815356489945,16
"hex","pks2","Lv",4.37434279705573,20
"hex","pks2","Lv",3.43403046733798,24
"hex","pks2","Lv",0.35778175313059,6
"hex","pks2","Lv",0.109709270433352,9
"hex","pks2","Lv",0.0606428138265615,12
"hex","tbr","Lv",69,16
"hex","tbr","Lv",6.16087751371115,20
"hex","tbr","Lv",6.62460567823344,24
"hex","tbr","Lv",6.01600826232894,6
"hex","tbr","Lv",1.8783542039356,9
"hex","tbr","Lv",1.42622051563357,12
"hex","tbr","Lv",0.121285627653123,16
"hex","wnt1","Lv",70,20
"hex","wnt1","Lv",4.38756855575868,24
"hex","wnt1","Lv",4.96319663512093,6
"hex","wnt1","Lv",1.21352956364575,9
"hex","wnt1","Lv",0.0894454382826475,12
"hex","wnt1","Lv",0.109709270433352,16
"hex","wnt1","Lv",0.363856882959369,20
"ets1","hex","Lv",71,24
"ets1","hex","Lv",5.22851919561243,6
"ets1","hex","Lv",5.6782334384858,9
"ets1","hex","Lv",3.76968758068681,12
"ets1","hex","Lv",2.50447227191413,16
"ets1","hex","Lv",3.07185957213385,20
"ets1","hex","Lv",1.03092783505155,24
"erg","hex","Lv",72,6
"erg","hex","Lv",0,9
"erg","hex","Lv",0,12
"erg","hex","Lv",0,16
"erg","hex","Lv",0,20
"erg","hex","Lv",0,24
"erg","hex","Lv",0,6
"hex","sm37","Lv",73,9
"hex","sm37","Lv",0,12
"hex","sm37","Lv",0.546792849631966,16
"hex","sm37","Lv",4.00206558223599,20
