"species","type","G1","G2","value"
"LV","coEXP","Tgif","Vegfr10","UMAPS/plot_LVA27764t1Tgif_and_LVA10634t1Vegfr10.png"
"LV","coEXP","Tgif","p58b","UMAPS/plot_LVA27764t1Tgif_and_LVA13091t1p58b.png"
"LV","coEXP","Tgif","Erg","UMAPS/plot_LVA27764t1Tgif_and_LVA13883t1Erg.png"
"LV","coEXP","Tgif","Sm29","UMAPS/plot_LVA27764t1Tgif_and_LVA18972t1Sm29.png"
"LV","coEXP","Tgif","Sm37","UMAPS/plot_LVA27764t1Tgif_and_LVA19591t1Sm37.png"
"LV","coEXP","Tgif","Sm50","UMAPS/plot_LVA27764t1Tgif_and_LVA19593t1Sm50.png"
"LV","coEXP","Tgif","FoxB","UMAPS/plot_LVA27764t1Tgif_and_LVA21108t1FoxB.png"
"LV","coEXP","Tgif","Dr1","UMAPS/plot_LVA27764t1Tgif_and_LVA21497t1Dr1.png"
"LV","coEXP","Tgif","Lim1","UMAPS/plot_LVA27764t1Tgif_and_LVA26747t1Lim1.png"
"LV","coEXP","Tgif","Msp1301","UMAPS/plot_LVA27764t1Tgif_and_LVA28884t1Msp1301.png"
"LV","coEXP","Tgif","FoxO1","UMAPS/plot_LVA27764t1Tgif_and_LVA35307t1FoxO1.png"
"LV","coEXP","Msp1301","Vegfr10","UMAPS/plot_LVA28884t1Msp1301_and_LVA10634t1Vegfr10.png"
"LV","coEXP","Msp1301","p58b","UMAPS/plot_LVA28884t1Msp1301_and_LVA13091t1p58b.png"
"LV","coEXP","Msp1301","Lim1","UMAPS/plot_LVA28884t1Msp1301_and_LVA26747t1Lim1.png"
"LV","coEXP","FoxO1","Vegfr10","UMAPS/plot_LVA35307t1FoxO1_and_LVA10634t1Vegfr10.png"
"LV","coEXP","FoxO1","p58b","UMAPS/plot_LVA35307t1FoxO1_and_LVA13091t1p58b.png"
"LV","coEXP","FoxO1","Sm29","UMAPS/plot_LVA35307t1FoxO1_and_LVA18972t1Sm29.png"
"LV","coEXP","FoxO1","Sm37","UMAPS/plot_LVA35307t1FoxO1_and_LVA19591t1Sm37.png"
"LV","coEXP","FoxO1","Sm50","UMAPS/plot_LVA35307t1FoxO1_and_LVA19593t1Sm50.png"
"LV","coEXP","FoxO1","Lim1","UMAPS/plot_LVA35307t1FoxO1_and_LVA26747t1Lim1.png"
"LV","coEXP","FoxO1","Msp1301","UMAPS/plot_LVA35307t1FoxO1_and_LVA28884t1Msp1301.png"
"LV","coEXP","Alx1","Vegfr10","UMAPS/plot_LVA5802t1Alx1_and_LVA10634t1Vegfr10.png"
"LV","coEXP","Alx1","Tbr","UMAPS/plot_LVA5802t1Alx1_and_LVA12704t1Tbr.png"
"LV","coEXP","Alx1","p58b","UMAPS/plot_LVA5802t1Alx1_and_LVA13091t1p58b.png"
"LV","coEXP","Alx1","Ets12","UMAPS/plot_LVA5802t1Alx1_and_LVA13690t1Ets12.png"
"LV","coEXP","Alx1","Erg","UMAPS/plot_LVA5802t1Alx1_and_LVA13883t1Erg.png"
"LV","coEXP","Alx1","Sm29","UMAPS/plot_LVA5802t1Alx1_and_LVA18972t1Sm29.png"
"LV","coEXP","Alx1","Sm37","UMAPS/plot_LVA5802t1Alx1_and_LVA19591t1Sm37.png"
"LV","coEXP","Alx1","Sm50","UMAPS/plot_LVA5802t1Alx1_and_LVA19593t1Sm50.png"
"LV","coEXP","Alx1","FoxB","UMAPS/plot_LVA5802t1Alx1_and_LVA21108t1FoxB.png"
"LV","coEXP","Alx1","Dr1","UMAPS/plot_LVA5802t1Alx1_and_LVA21497t1Dr1.png"
"LV","coEXP","Alx1","Lim1","UMAPS/plot_LVA5802t1Alx1_and_LVA26747t1Lim1.png"
"LV","coEXP","Alx1","Tgif","UMAPS/plot_LVA5802t1Alx1_and_LVA27764t1Tgif.png"
"LV","coEXP","Alx1","Msp1301","UMAPS/plot_LVA5802t1Alx1_and_LVA28884t1Msp1301.png"
"LV","coEXP","Alx1","FoxO1","UMAPS/plot_LVA5802t1Alx1_and_LVA35307t1FoxO1.png"
"HE","EXP","FoxB",NA,"UMAPS/Gradient_plot_Lv_HER11066t1SpFoxB.png"
"HE","EXP","Alx1",NA,"UMAPS/Gradient_plot_Lv_HER12794t125f2c6949SpAlx1.png"
"HE","EXP","p58b",NA,"UMAPS/Gradient_plot_Lv_HER21268t1Spp58b.png"
"HE","EXP","Tbr",NA,"UMAPS/Gradient_plot_Lv_HER21600t1SpTbr.png"
"HE","EXP","Sm29",NA,"UMAPS/Gradient_plot_Lv_HER26231t1SpSm29.png"
"HE","EXP","Sm37",NA,"UMAPS/Gradient_plot_Lv_HER26255t1SpSm37.png"
"HE","EXP","Sm50",NA,"UMAPS/Gradient_plot_Lv_HER26257t1SpSm50.png"
"HE","EXP","Lim1",NA,"UMAPS/Gradient_plot_Lv_HER2641t1SpLim1.png"
"HE","EXP","Msp1301",NA,"UMAPS/Gradient_plot_Lv_HER28403t1SpMsp1301.png"
"HE","EXP","FoxO1",NA,"UMAPS/Gradient_plot_Lv_HER35682t1SpFoxO1.png"
"HE","EXP","Tgif",NA,"UMAPS/Gradient_plot_Lv_HER4286t1SpTgif.png"
"HE","EXP","Ets12",NA,"UMAPS/Gradient_plot_Lv_HER43627t1SpEts12.png"
"HE","EXP","Erg",NA,"UMAPS/Gradient_plot_Lv_HER43628t2SpErg.png"
"HE","EXP","Vegfr10",NA,"UMAPS/Gradient_plot_Lv_HER48314t1SpVegfr10.png"
"HE","EXP","Dr1",NA,"UMAPS/Gradient_plot_Lv_HER9959t1SpDr1.png"
"HE","coEXP","FoxB","p58b","UMAPS/plot_HER11066t1SpFoxB_and_HER21268t1Spp58b.png"
"HE","coEXP","FoxB","Sm29","UMAPS/plot_HER11066t1SpFoxB_and_HER26231t1SpSm29.png"
"HE","coEXP","FoxB","Sm37","UMAPS/plot_HER11066t1SpFoxB_and_HER26255t1SpSm37.png"
"HE","coEXP","FoxB","Sm50","UMAPS/plot_HER11066t1SpFoxB_and_HER26257t1SpSm50.png"
"HE","coEXP","FoxB","Lim1","UMAPS/plot_HER11066t1SpFoxB_and_HER2641t1SpLim1.png"
"HE","coEXP","FoxB","Msp1301","UMAPS/plot_HER11066t1SpFoxB_and_HER28403t1SpMsp1301.png"
"HE","coEXP","FoxB","FoxO1","UMAPS/plot_HER11066t1SpFoxB_and_HER35682t1SpFoxO1.png"
"HE","coEXP","FoxB","Vegfr10","UMAPS/plot_HER11066t1SpFoxB_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Alx1","FoxB","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER11066t1SpFoxB.png"
